Location,City,Date/Time,Parameter,Value,LAT,LON
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T17:45:00.000Z,pm25,24.59,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T17:45:00.000Z,pm10,66.34,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T17:45:00.000Z,o3,14.9,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T17:45:00.000Z,co,1270,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T17:45:00.000Z,so2,16.97,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,2017-06-22T17:45:00.000Z,no2,54.78,19.041847,72.865513
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T17:30:00.000Z,pm10,133.6,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T17:30:00.000Z,o3,6.26,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T17:30:00.000Z,so2,28.29,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T17:30:00.000Z,co,620,22.627875,88.3804
